SUPERKINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES	DOMAIN	ORGANISM NAME	STRAIN	SEROVAR/BIOVAR	COMMON NAME	NCBI PROJECT NAME	CULTURE COLLECTION	TYPE STRAIN	GOLDSTAMP	OLD GOLDSTAMP	PROJECT TYPE	PROJECT STATUS	AVAILABILITY	SEQUENCING CENTERS	FUNDING	CONTACT NAME	CONTACT EMAIL	CONTACT URL	LOCUS TAG	COMPLETION DATE	PUBLICATION	PROJECT RELEVANCE	NCBI TAXON ID	NCBI PROJECT ID	NCBI ARCHIVE ID	SHORT READS ARCHIVE ID	GCAT_ID	HMP ID	HOMD ID	STRAININFO ID	GREENGENES OBJECT ID	IMG OBJECT ID	GENOME DATA	SEQUENCING STATUS	SEQUENCING QUALITY	COMMENTS	LIBRARY METHOD	READS COUNT	VECTOR	ASSEMBLY METHOD	SEQUENCING DEPTH	GENE CALLING METHOD	CONTIG COUNT	SIZE(kb)	ORFS	CHROMOSOME COUNT	PLASMID COUNT	GC Content	SEQUENCING METHOD	SEQUENCING COUNTRY	ISOLATION SITE	ISOLATION SOURCE	ISOLATION COMMENTS	COLLECTION DATE	ISOLATION COUNTRY	ISOLATION PUBMED ID	GEOGRAPHIC LOCATION	LATITUDE	LONGITUDE	ALTITUDE	DEPTH	HOST NAME	HOST TAXON ID	HOST GENDER	HOST AGE	HOST RACE	HOST HEALTH	HOST MEDICATION	HOST SPECIFICITY	BODY SAMPLE SITE	BODY PRODUCT	BODY SAMPLE SUBSITE	HOST COMMENTS	OXYGEN REQUIREMENT	CELL SHAPE	SPORULATION	PRESSURE	TEMPERATURE RANGE	SALINITY	PH	CELL DIAMETER	CELL LENGTH	COLOR	GRAM STAINING	BIOTIC RELATIONSHIPS	SYMBIOTIC INTERACTION	SYMBIOTIC RELATIONSHIP	SYMBIONT NAME	SYMBIONT TAXON ID	CELL ARRANGEMENT	DISEASE	HABITAT	TEMPERATURE	METABOLISM	MOTILITY	PHENOTYPE	ENERGY SOURCE
Eukaryota	Arthropoda	Merostomata	Xiphosura	Limulidae	Limulus	NA	EUKARYAL	Limulus polyphemus  	NA		Atlantic horseshoe crab	Limulus polyphemus	NA		Gi02473	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	NA	6850	20489	NA		003197_GCAT	NA		NA		0	NA		NA		NA		NA		6x	NA		0	0	NA		0	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Cooperiidae	Cooperia	Cooperia oncophora	EUKARYAL	Cooperia oncophora  	NA		NA	Cooperia oncophora	NA		Gi02469	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Cattle Pathogen, Medical	27828	20299	NA		003192_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Pathogen, Parasitic	
Eukaryota	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila mauritiana	EUKARYAL	Drosophila mauritiana  	NA		NA	Drosophila mauritiana	NA		Gi02470	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	NA	7226	20289	NA		003193_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	454	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles gambiae	EUKARYAL	Anopheles gambiae  S	S	NA		Anopheles gambiae S	NA		Gi02468	NA	Genome	incomplete	Public	J. Craig Venter Institute	NA		NA		NA		 	NA	377270	20301	NA		003190_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	NA	EUKARYAL	Anopheles gambiae  S	S	NA		Anopheles gambiae	NA		Ge00284	NA	Genome	complete	Public	Genoscope, Institut Pasteur	NA		NA		NA		 	NA	7165	13970	NA		003191_GCAT	NA		NA		0	NA	Complete	NA		NA		NA		NA		NA	3700	0	NA		0	Sanger	France	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Ancylostoma ceylanicum	EUKARYAL	Ancylostoma ceylanicum  	NA		NA	Ancylostoma ceylanicum	NA		Ge00073	NA	EST	incomplete	Public	Univ of Colorado, Washington Univ	NA	McCarter J	mccarter@genetics.wustl.edu	NA		NA	 	NA	53326	12860	NA		002118_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	10651	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Ancylostoma duodenale	EUKARYAL	Ancylostoma duodenale  	NA		NA	Ancylostoma duodenale	NA		Ge00074	NA	EST	incomplete	Public	Washington Univ	NIH-NIAID	McCarter J	mccarter@genetics.wustl.edu	NA		NA	 	NA	51022	12858	NA		002119_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Ascaridida	Ascarididae	Ascaris	NA	EUKARYAL	Ascaris lumbicoides  	NA		NA		NA		Ge00075	NA	EST	incomplete	Public	Washington Univ	NIH-NIAID	McCarter J	mccarter@genetics.wustl.edu	NA		NA	 	NA	6252	NA		NA	002120_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Ascaridida	Ascarididae	Ascaris	NA	EUKARYAL	Ascaris suum  	NA		NA		NA		Ge00076	NA	EST	incomplete	Public	Sanger Institute, Univ of Edinburgh	Beowulf Genomics	Blaxter M	NA	http://helios.bto.ed.ac.uk/icapb/cgi-bin/CV_out.cgi?user=blaxter	NA		 	NA	6253	NA		NA	002121_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	10000	0	NA		0	NA	United Kingdom	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Spirurida	Onchocercidae	Brugia	NA	EUKARYAL	Brugia malayi  	NA		NA	Brugia malayi	NA		Ge00077	NA	EST	incomplete	Public	Sanger Institute, Univ of Edinburgh	Beowulf Genomics	Blaxter M	NA	http://helios.bto.ed.ac.uk/icapb/cgi-bin/CV_out.cgi?user=blaxter	NA		 	NA	6279	12862	NA		002122_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	300000	0	NA		0	NA	United Kingdom	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Spirurida	Onchocercidae	Brugia	NA	EUKARYAL	Brugia malayi  	NA		NA		NA		Gi02174	NA	Genome-Regions	incomplete	Public	Sanger Institute, Univ of Edinburgh	NA	Berriman M	mb4@sanger.ac.uk	NA		NA	 	NA	6279	159	NA		002840_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	6	0	0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Heterorhabditidae	Heterorhabditis	Heterorhabditis bacteriophora	EUKARYAL	Heterorhabditis bacteriophora  	NA		NA	Heterorhabditis bacteriophora	NA		Gi01479	NA	Genome	incomplete	Public	Washington Univ	NIH-NHGRI	Spieth J	NA	http://genome.wustl.edu/Bio/email_data.cgi?staff=John%20Spieth	NA		 	NA	37862	13976	NA		002124_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis	Caenorhabditis remanei	EUKARYAL	Caenorhabditis remanei  	NA		NA	Caenorhabditis remanei	NA		Gi00116	NA	Genome	incomplete	Public	Washington Univ	NIH-NHGRI	Spieth J	NA	http://genome.wustl.edu/Bio/email_data.cgi?staff=John%20Spieth	NA		 	NA	31234	12588	NA		002125_GCAT	NA		NA		0	AAGD00000000	Draft	NA		NA		NA		9x	NA		0	0	NA		0	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis	Caenorhabditis japonica	EUKARYAL	Caenorhabditis japonica  	NA		NA	Caenorhabditis japonica	NA		Gi00115	NA	Genome	incomplete	Public	Washington Univ	NIH-NHGRI	NA		NA		NA	 	NA	281687	12591	NA		002126_GCAT	NA		NA		0	NA		NA		NA		NA		9x	NA		100000	0	NA		0	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis	NA	EUKARYAL	Caenorhabditis brenneri  CB5161, PB2801	CB5161, PB2801	NA		NA		NA	Gi00117	NA	Genome	incomplete	Public	Washington Univ	NIH-NHGRI	Spieth J	NA	http://genome.wustl.edu/Bio/email_data.cgi?staff=John%20Spieth	NA		 	NA	135651	NA		NA	002127_GCAT	NA		NA		0	ABEG00000000	Draft	NA		NA		NA		9x	NA		0	0	NA		0	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Spirurida	Onchocercidae	Dirofilaria	NA	EUKARYAL	Dirofilaria immitis  	NA		canine heartworm nematode	NA		NA	Ge00078	NA	EST	incomplete	Public	Washington Univ, North Carolina State Univ	NIH-NIAID	McCarter J	mccarter@genetics.wustl.edu	NA		NA	 	NA	6287	NA		NA	002128_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Tylenchida	Heteroderidae	Globodera	Globodera pallida	EUKARYAL	Globodera pallida  	NA		NA		NA		Ge00079	NA	EST	incomplete	Public	Wageningen Univ, Scottish Crop Research Institute	NA	Smant G	geert.smant@nema.dpw.wau.nl	NA		NA	 	NA	36090	NA		NA	002129_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	100000	0	NA		0	NA	International	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Tylenchida	Heteroderidae	Globodera	Globodera rostochiensis	EUKARYAL	Globodera rostochiensis  	NA		NA		NA		Ge00080	NA	EST	incomplete	Public	Wageningen Univ, Washington Univ	NSF	Smant G	geert.smant@nema.dpw.wau.nl	NA		NA	 	NA	31243	NA		NA	002130_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	International	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Haemonchidae	Haemonchus	NA	EUKARYAL	Haemonchus contortus  	NA		NA		NA		Gi01761	NA	Genome	incomplete	Public	Sanger Institute, Univ of Edinburgh	Beowulf Genomics	Blaxter M	NA	http://helios.bto.ed.ac.uk/icapb/cgi-bin/CV_out.cgi?user=blaxter	NA		 	NA	6289	NA		NA	002131_GCAT	NA		NA		0	NA		NA		NA		NA		5x	NA		0	0	NA		0	Sanger	United Kingdom	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Haemonchidae	Haemonchus	Haemonchus placei	EUKARYAL	Haemonchus placei  	NA		NA		NA		Ge00270	NA	EST	complete	Public	Sanger Institute	Beowulf Genomics	Berriman M	mb4@sanger.ac.uk	NA		NA	 	NA	6290	NA		NA	002872_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	7500	0	NA		0	NA	United Kingdom	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Heligmonellidae	Nippostrongylus	Nippostrongylus brasiliensis	EUKARYAL	Nippostrongylus brasiliensis  	NA		NA		NA		Gi02176	NA	Genome	complete	Public	Sanger Institute	Beowulf Genomics	Berriman M	mb4@sanger.ac.uk	NA		NA	 	NA	27835	NA		NA	002873_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	United Kingdom	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Heligmonellidae	Nippostrongylus	Nippostrongylus brasiliensis	EUKARYAL	Nippostrongylus brasiliensis  	NA		NA	Nippostrongylus brasiliensis	NA		Gi02475	NA	Genome	complete	Public	Washington Univ	NA		NA		NA		 	NA	27835	20447	NA		003200_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Heligmonellidae	Nippostrongylus	Nippostrongylus brasiliensis	EUKARYAL	Nippostrongylus brasiliensis  	NA		NA	Nippostrongylus brasiliensis	NA		Ge00286	NA	EST	complete	Public	Washington Univ	NA		NA		NA		 	NA	27835	20449	NA		003199_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	7004	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Ascaridida	Ascarididae	Ascaris	NA	EUKARYAL	Ascaris lumbricoides  	NA		NA		NA		Gi02177	NA	Genome	complete	Public	Sanger Institute	Beowulf Genomics	Berriman M	mb4@sanger.ac.uk	NA		NA	 	NA	6252	NA		NA	002874_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	230000	0	NA		0	NA	United Kingdom	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Ancylostoma duodenale	EUKARYAL	Ancylostoma duodenale  	NA		NA		NA		Gi02178	NA	Genome	complete	Public	Sanger Institute	Beowulf Genomics	Berriman M	mb4@sanger.ac.uk	NA		NA	 	NA	51022	NA		NA	002875_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	United Kingdom	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Strongyloididae	Strongyloides	Strongyloides stercoralis	EUKARYAL	Strongyloides stercoralis  	NA		NA		NA		Gi02179	NA	Genome	complete	Public	Sanger Institute	Beowulf Genomics	Berriman M	mb4@sanger.ac.uk	NA		NA	 	NA	6248	NA		NA	002876_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	Sanger	United Kingdom	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Enoplea	Trichocephalida	Trichuridae	Trichuris	Trichuris trichiura	EUKARYAL	Trichuris trichiura  	NA		NA		NA		Gi02180	NA	Genome	complete	Public	Sanger Institute	Beowulf Genomics	Berriman M	mb4@sanger.ac.uk	NA		NA	 	NA	36087	NA		NA	002877_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	Sanger	United Kingdom	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Tylenchida	Heteroderidae	Heterodera	NA	EUKARYAL	Heterodera glycines  	NA		NA		NA		Ge00083	NA	EST	incomplete	Public	Washington Univ, North Carolina State Univ	NIH-NIAID	McCarter	mccarter@genetics.wustl.edu	NA		NA	 	NA	51029	NA		NA	002132_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	92000	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Spirurida	Onchocercidae	Litomosoides	Litomosoides sigmodontis	EUKARYAL	Litomosoides sigmodontis  	NA		NA		NA		Ge00084	NA	EST	incomplete	Public	Edinburgh Univ	NA	Blaxter M	NA	http://helios.bto.ed.ac.uk/icapb/cgi-bin/CV_out.cgi?user=blaxter	NA		 	NA	42156	NA		NA	002133_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	United Kingdom	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Tylenchida	Meloidogynidae	Meloidogyne	Meloidogyne arenaria	EUKARYAL	Meloidogyne arenaria  	NA		NA	Meloidogyne arenaria	NA		Ge00085	NA	EST	incomplete	Public	Washington Univ	NA	McCarter	mccarter@genetics.wustl.edu	NA		NA	 	NA	6304	12718	NA		002134_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Tylenchida	Meloidogynidae	Meloidogyne	Meloidogyne artiellia	EUKARYAL	Meloidogyne artellia  	NA		NA	Meloidogyne artiellia	NA		Ge00086	NA	EST	incomplete	Public	Washington Univ, North Carolina State Univ	NA	McCarter	mccarter@genetics.wustl.edu	NA		NA	 	NA	42426	12728	NA		002135_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Tylenchida	Meloidogynidae	Meloidogyne	Meloidogyne chitwoodi	EUKARYAL	Meloidogyne chitwoodi  	NA		NA	Meloidogyne chitwoodi	NA		Ge00087	NA	EST	incomplete	Public	Washington Univ, North Carolina State Univ	NA	McCarter	mccarter@genetics.wustl.edu	NA		NA	 	NA	59747	12732	NA		002136_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Tylenchida	Meloidogynidae	Meloidogyne	Meloidogyne hapla	EUKARYAL	Meloidogyne hapla  VW9	VW9	NA		Meloidogyne hapla VW9	NA		Gc00874	Gi00715	Genome	Complete and Published	Public	DOE Joint Genome Institute, Washington Univ, North Carolina State Univ	NSF	McCarter	mccarter@genetics.wustl.edu	NA		2007-09-22	PNAS 105, 14802-7	NA	6305	29083	NA		002137_GCAT	NA		NA		0	ABLG00000000	Complete	Level 2: High-Quality Draft	NA		NA		Arachne	10.4x	Glimmer, FgenesH	1523	54000	16676	16	0	27.4	Sanger	USA	VW9 eggs	NA		NA		NA	VW9 eggs	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	
Eukaryota	Nematoda	Chromadorea	Tylenchida	Meloidogynidae	Meloidogyne	NA	EUKARYAL	Meloidogyne incognita  	NA		NA		NA		Ge00088	NA	EST	incomplete	Public	Wageningen Univ, Washington Univ	NA	McCarter	mccarter@genetics.wustl.edu	NA		NA	 	NA	6306	NA		NA	002138_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Tylenchida	Meloidogynidae	Meloidogyne	NA	EUKARYAL	Meloidogyne javanica  	NA		NA		NA		Ge00089	NA	EST	incomplete	Public	Washington Univ, North Carolina State Univ	NA	McCarter	mccarter@genetics.wustl.edu	NA		NA	 	NA	6303	NA		NA	002139_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Necator	Necator americanus	EUKARYAL	Necator americanus  	NA		NA		NA		Ge00090	NA	EST	complete	Public	Sanger Institute, Univ of Edinburgh	Beowulf Genomics	Blaxter M	NA	http://helios.bto.ed.ac.uk/icapb/cgi-bin/CV_out.cgi?user=blaxter	NA		 	NA	51031	NA		NA	002140_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	10000	0	NA		0	NA	United Kingdom	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Spirurida	Onchocercidae	Onchocerca	Onchocerca ochengi	EUKARYAL	Onchocerca ochengi  	NA		NA		NA		Ge00091	NA	EST	incomplete	Public	Washington Univ	Edna McConnell Clark Foundation	Williams S	genome@smith.edu	NA		NA	 	NA	42157	NA		NA	002141_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Spirurida	Onchocercidae	Onchocerca	Onchocerca volvulus	EUKARYAL	Onchocerca volvulus  	NA		NA		NA		Ge00092	NA	EST	incomplete	Public	Smith College	Edna McConnell Clark Foundation	Williams S	genome@smith.edu	NA		NA	 	NA	6282	NA		NA	002142_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Haemonchidae	Ostertagia	Ostertagia ostertagi	EUKARYAL	Ostertagia ostertagi  	NA		NA	Ostertagia ostertagi	NA		Ge00093	NA	EST	incomplete	Public	Edinburgh Univ, Washington Univ	NIH	McCarter	mccarter@genetics.wustl.edu	NA		NA	 	NA	6317	20475	NA		002143_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	7006	0	NA		0	NA	International	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Strongyloididae	Parastrongyloides	Parastrongyloides trichosuri	EUKARYAL	Parastrongyloides trichosuri  	NA		NA		NA		Ge00094	NA	EST	incomplete	Public	AgResearch, Washington Univ	NIH	McCarter	mccarter@genetics.wustl.edu	NA		NA	 	NA	131310	NA		NA	002144_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	International	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Diplogasterida	Neodiplogasteridae	Pristionchus	Pristionchus pacificus	EUKARYAL	Pristionchus pacificus  PS312	PS312	NA		NA		NA	Gc00999	Gi00756	Genome	Complete and Published	Public	Max Planck Institute, Washington Univ	NIH-NHGRI	Sommer RJ	ralf.sommer@tuebingen.mpg.de	http://www.eb.tuebingen.mpg.de/departments/4-evolutionary-biology/department-4-evolutionary-biology	NA	2009-01-07	Nature Genetics 40, 1193-8	NA	54126	12644	NA		002145_GCAT	NA		NA		0	ABKE00000000	Complete	NA		NA		NA		8.92x	NA		0	0	NA		0	NA	USA	Pasadena, California	NA		NA	USA	NA	Pasadena, California	34.145892	-118.132351	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	
Eukaryota	Nematoda	Chromadorea	Diplogasterida	Neodiplogasteridae	Pristionchus	Pristionchus pacificus	EUKARYAL	Pristionchus pacificus.  	NA		NA		NA		Ge00095	NA	EST	incomplete	Public	Max Planck Institute, Washington Univ	Max Planck Society	McCarter	mccarter@genetics.wustl.edu	NA		NA	 	NA	54126	12650	NA		002146_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	15446	0	NA		0	NA	International	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Strongyloididae	Strongyloides	Strongyloides ratti	EUKARYAL	Strongyloides ratti  	NA		NA		NA		Ge00096	NA	EST	incomplete	Public	Washington Univ, Univ of Bristol	MRC, NIH	McCarter	mccarter@genetics.wustl.edu	NA		NA	 	NA	34506	NA		NA	002147_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	International	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Nematoda	Chromadorea	Rhabditida	Strongyloididae	Strongyloides	Strongyloides stercoralis	EUKARYAL	Strongyloides stercoralis  	NA		NA		NA		Ge00097	NA	EST	incomplete	Public	Washington Univ	NIH	McCarter	mccarter@genetics.wustl.edu	NA		NA	 	NA	6248	NA		NA	002148_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
